City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Dikson,RU,2021-05-26 17:27:11,73.5069,80.5464,27.05,96,100,13.85
189,Ahipara,NZ,2021-05-26 17:27:11,-35.1667,173.1667,51.57,77,12,5.64
190,Ostrovnoy,RU,2021-05-26 17:27:12,68.0531,39.5131,36.91,65,20,3.24
191,Kaputa,ZM,2021-05-26 17:27:12,-8.4689,29.6619,69.17,62,6,3.78
192,Kaitangata,NZ,2021-05-26 17:24:49,-46.2817,169.8464,31.93,80,11,4.25
193,Tabuk,PH,2021-05-26 17:27:12,17.4189,121.4443,78.28,82,46,2.24
194,Carutapera,BR,2021-05-26 17:27:13,-1.195,-46.02,84.18,70,52,8.86
195,Mogadishu,SO,2021-05-26 17:27:13,2.0371,45.3438,79.18,78,61,15.1
196,Santa Cruz,BO,2021-05-26 17:23:16,-17.8,-63.1667,80.06,53,75,8.05
197,Mount Isa,AU,2021-05-26 17:27:13,-20.7333,139.5,62.37,27,0,16.11
198,Khatanga,RU,2021-05-26 17:27:14,71.9667,102.5,28.72,96,100,10.4
199,Kongoussi,BF,2021-05-26 17:27:14,13.3258,-1.5347,105.24,15,62,0.34
200,Keti Bandar,PK,2021-05-26 17:24:07,24.1447,67.4497,84.69,83,4,15.19
201,Laguna,US,2021-05-26 17:27:14,38.421,-121.4238,80.11,41,1,1.99
202,Camalu,MX,2021-05-26 17:27:15,30.85,-116.0667,68.41,58,53,7.2
203,Panjab,AF,2021-05-26 17:27:15,34.388,67.0233,57.31,26,0,5.03
204,Belmonte,BR,2021-05-26 17:27:15,-15.8631,-38.8828,82.9,57,2,7.38
205,Kirs,RU,2021-05-26 17:27:15,59.3388,52.2447,43.47,79,100,6.64
206,Havelock,US,2021-05-26 17:27:16,34.8791,-76.9013,93.06,71,40,7.0
207,Acapulco,MX,2021-05-26 17:27:16,16.8634,-99.8901,89.42,48,40,5.99
208,Banda Aceh,ID,2021-05-26 17:25:04,5.5577,95.3222,80.26,79,100,4.72
209,Klaksvik,FO,2021-05-26 17:27:16,62.2266,-6.589,47.32,76,83,18.54
210,Roma,US,2021-05-26 17:27:17,43.2128,-75.4557,87.94,42,20,12.66
211,Praia Da Vitoria,PT,2021-05-26 17:27:17,38.7333,-27.0667,62.85,72,40,17.63
212,Aberdeen,GB,2021-05-26 17:22:29,57.1437,-2.0981,52.29,79,75,18.41
213,Richland,US,2021-05-26 17:27:17,40.7834,-82.5499,79.07,92,90,6.91
214,Forte Dei Marmi,IT,2021-05-26 17:27:18,43.9648,10.1724,70.03,72,3,4.12
215,Longyearbyen,SJ,2021-05-26 17:27:18,78.2186,15.6401,35.44,69,75,5.75
216,Spencer,US,2021-05-26 17:27:18,43.1414,-95.1444,71.76,52,1,8.05
217,Yushan,CN,2021-05-26 17:27:18,31.3776,120.9543,69.69,96,100,5.26
218,Kosa,RU,2021-05-26 17:27:19,59.9445,54.9977,43.02,77,100,7.02
219,Makakilo City,US,2021-05-26 17:24:02,21.3469,-158.0858,76.6,75,1,3.44
220,Katsuura,JP,2021-05-26 17:27:19,35.1333,140.3,69.12,83,100,6.04
221,Batticaloa,LK,2021-05-26 17:27:19,7.7102,81.6924,84.29,57,99,18.3
222,Hasaki,JP,2021-05-26 17:27:20,35.7333,140.8333,64.8,79,100,8.86
223,Port Harcourt,NG,2021-05-26 17:27:20,4.7774,7.0134,80.78,78,94,7.34
224,Solnechnyy,RU,2021-05-26 17:27:20,50.7214,136.6319,33.37,95,100,1.23
225,Rawson,AR,2021-05-26 17:27:20,-43.3002,-65.1023,56.84,52,59,22.73
226,Snasa,NO,2021-05-26 17:27:21,64.2457,12.3778,62.01,43,63,13.35
227,Natal,BR,2021-05-26 17:27:21,-5.795,-35.2094,86.65,51,40,16.33
228,Beringovskiy,RU,2021-05-26 17:27:21,63.05,179.3167,31.33,88,66,11.07
229,Kurtamysh,RU,2021-05-26 17:27:22,54.9103,64.4319,58.89,56,0,7.25
230,Yashan,CN,2021-05-26 17:27:22,22.1975,109.9419,77.85,96,40,2.46
231,Boras,SE,2021-05-26 17:27:22,57.721,12.9401,51.55,91,100,4.32
232,Kudahuvadhoo,MV,2021-05-26 17:27:22,2.6708,72.8944,83.89,74,97,21.32
233,Seoni,IN,2021-05-26 17:27:23,22.0833,79.5333,88.54,18,99,6.06
234,Mehamn,NO,2021-05-26 17:27:23,71.0357,27.8492,41.18,61,56,2.89
235,Harper,LR,2021-05-26 17:27:23,4.375,-7.7169,83.25,74,60,8.9
236,Richards Bay,ZA,2021-05-26 17:25:12,-28.783,32.0377,66.18,88,5,3.44
237,Zhezkazgan,KZ,2021-05-26 17:27:24,47.8043,67.7144,81.09,16,77,6.76
238,Mahibadhoo,MV,2021-05-26 17:27:24,3.7833,72.9667,83.62,75,98,22.32
239,Corinth,GR,2021-05-26 17:27:24,37.9407,22.9573,82.42,36,93,2.68
240,Oranjestad,AW,2021-05-26 17:27:25,12.524,-70.027,85.95,66,20,24.16
241,Tahe,CN,2021-05-26 17:27:25,52.3333,124.7333,39.76,92,100,2.01
242,Touros,BR,2021-05-26 17:22:57,-5.1989,-35.4608,86.9,64,43,18.01
243,Tarrega,ES,2021-05-26 17:27:15,41.647,1.1396,74.32,45,99,9.51
244,Wewak,PG,2021-05-26 17:27:25,-3.5534,143.6268,79.63,83,99,4.09
245,Rio Gallegos,AR,2021-05-26 17:27:26,-51.6226,-69.2181,41.05,56,20,11.5
246,Kloulklubed,PW,2021-05-26 17:24:12,7.0419,134.2556,75.7,77,100,11.52
247,Tyumentsevo,RU,2021-05-26 17:27:26,53.3224,81.498,74.19,46,4,14.38
248,Pemangkat,ID,2021-05-26 17:27:26,1.1667,108.9667,79.54,82,74,6.17
249,Airai,TL,2021-05-26 17:27:27,-8.9266,125.4092,56.59,91,85,4.09
250,Taunggyi,MM,2021-05-26 17:27:27,20.7833,97.0333,64.56,86,33,3.74
251,Yumen,CN,2021-05-26 17:27:27,40.2833,97.2,68.18,11,3,5.19
252,Sambava,MG,2021-05-26 17:27:27,-14.2667,50.1667,74.79,83,3,11.95
253,Constitucion,CL,2021-05-26 17:27:28,-35.3333,-72.4167,63.61,67,5,8.77
254,Dunedin,NZ,2021-05-26 17:25:01,-45.8742,170.5036,44.8,40,3,10.0
255,Griffith,US,2021-05-26 17:27:28,41.5284,-87.4237,81.14,56,1,5.01
256,Nikolskoye,RU,2021-05-26 17:27:29,59.7035,30.7861,52.39,89,82,8.84
257,Kimbe,PG,2021-05-26 17:27:29,-5.5502,150.1429,76.57,91,100,5.66
258,Lata,PT,2021-05-26 17:23:41,40.1629,-8.3327,82.04,47,75,8.23
259,Srandakan,ID,2021-05-26 17:27:29,-7.9386,110.2506,78.01,83,74,5.61
260,Joensuu,FI,2021-05-26 17:27:29,62.6012,29.7632,51.28,51,0,8.99
261,Cabedelo,BR,2021-05-26 17:23:04,-6.9811,-34.8339,86.67,69,3,17.31
262,Saskylakh,RU,2021-05-26 17:27:30,71.9167,114.0833,43.34,84,100,3.62
263,Sao Mateus,BR,2021-05-26 17:27:30,-18.7161,-39.8589,78.62,70,94,6.51
264,Ivnya,RU,2021-05-26 17:27:30,51.0629,36.1343,73.31,81,49,6.98
265,Mizdah,LY,2021-05-26 17:27:31,31.4451,12.9801,89.37,16,96,15.23
266,Dingle,PH,2021-05-26 17:27:31,10.9995,122.6711,78.3,87,80,3.6
267,Berbera,SO,2021-05-26 17:27:31,10.4396,45.0143,88.84,61,94,9.01
268,Soyo,AO,2021-05-26 17:24:26,-6.1349,12.3689,82.45,79,10,10.56
269,Isabela,PH,2021-05-26 17:27:32,6.7085,121.9711,77.99,88,100,4.43
270,Quelimane,MZ,2021-05-26 17:27:32,-17.8786,36.8883,71.55,64,20,2.3
271,Pisco,PE,2021-05-26 17:27:32,-13.7,-76.2167,66.25,82,90,3.44
272,Ayan,RU,2021-05-26 17:27:33,56.45,138.1667,40.01,67,36,4.56
273,Narrabri,AU,2021-05-26 17:27:33,-30.3167,149.7833,42.53,87,2,6.91
274,Bambous Virieux,MU,2021-05-26 17:27:33,-20.3428,57.7575,73.65,88,75,6.49
275,San Ramon,US,2021-05-26 17:27:33,37.7799,-121.978,75.42,53,1,4.0
276,Wagar,SD,2021-05-26 17:25:08,16.1525,36.2032,103.91,12,9,7.76
277,Urumqi,CN,2021-05-26 17:24:06,43.801,87.6005,76.15,21,0,0.67
278,Sakakah,SA,2021-05-26 17:27:34,29.9697,40.2064,94.57,11,0,7.43
279,Baykalsk,RU,2021-05-26 17:27:34,51.5058,104.1469,43.56,87,84,10.98
280,San Isidro,PE,2021-05-26 17:27:35,-12.1167,-77.05,68.25,85,90,7.63
