City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Sitka,US,57.0531,-135.33,49.89,71,90,3.44,overcast clouds
152,Agua Dulce,MX,18.1333,-94.1333,85.78,65,53,13.56,broken clouds
153,Castro,BR,-24.7911,-50.0119,59.76,85,73,3.09,broken clouds
154,Puerto Narino,CO,-3.7703,-70.3831,75.15,93,53,1.34,broken clouds
155,Khatanga,RU,71.9667,102.5,28.2,88,98,9.48,overcast clouds
156,La Palma,US,33.8464,-118.0467,88.02,58,1,5.99,clear sky
157,Vanavara,RU,60.34,102.2797,45.48,57,34,5.93,scattered clouds
158,Teguise,ES,29.0605,-13.564,64.62,73,75,14.27,broken clouds
159,Gat,IL,31.61,34.7642,75.4,77,0,3.94,clear sky
160,Yarmouth,US,41.7057,-70.2286,75.18,59,20,6.91,few clouds
161,Huarmey,PE,-10.0681,-78.1522,68.2,88,31,7.85,scattered clouds
162,Korla,CN,41.7597,86.1469,72.23,17,43,1.5,scattered clouds
163,Vysokogornyy,RU,50.1167,139.15,51.4,60,76,3.27,broken clouds
164,Kushima,JP,31.4583,131.2333,69.84,76,100,3.09,overcast clouds
165,Mandurah,AU,-32.55,115.7,66.13,46,46,10.36,scattered clouds
166,Half Moon Bay,US,37.4636,-122.4286,81.81,67,20,12.24,few clouds
167,Komsomolskiy,UZ,40.4272,71.7189,71.02,48,9,6.91,clear sky
168,Hobyo,SO,5.3505,48.5268,78.6,82,50,18.77,scattered clouds
169,Tekeli,KZ,44.83,78.8239,57.65,85,100,9.4,overcast clouds
170,Perth,AU,-31.9333,115.8333,66.38,54,0,9.26,clear sky
171,Progreso,MX,21.2833,-89.6667,90.1,73,51,16.53,broken clouds
172,Severodvinsk,RU,64.5635,39.8302,41.11,90,94,7.36,overcast clouds
173,Road Town,VG,18.4167,-64.6167,82.49,78,40,4.61,scattered clouds
174,Isangel,VU,-19.55,169.2667,75.87,48,58,3.76,broken clouds
175,Sao Filipe,CV,14.8961,-24.4956,73.63,76,4,5.46,clear sky
176,Mega,ET,4.05,38.3,57.29,87,89,9.62,overcast clouds
177,Charters Towers,AU,-20.1,146.2667,64.31,36,1,15.14,clear sky
178,Muros,ES,42.7762,-9.0603,61.3,62,85,5.66,overcast clouds
179,Novosheshminsk,RU,55.0651,51.2338,51.8,80,0,3.71,clear sky
180,Fairmount,US,43.0473,-76.2385,61.68,52,78,3.0,broken clouds
181,Jerome,US,42.7241,-114.5186,80.15,23,1,0.0,clear sky
182,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,39,4.54,scattered clouds
183,Coos Bay,US,43.3665,-124.2179,66.85,72,90,11.5,overcast clouds
184,Suntar,RU,62.1444,117.6319,55.15,73,93,4.81,overcast clouds
185,Luderitz,NA,-26.6481,15.1594,58.6,71,6,8.5,clear sky
186,Soderhamn,SE,61.3037,17.0592,41.04,93,73,6.42,broken clouds
187,Tiznit,MA,29.5833,-9.5,62.4,78,73,1.61,broken clouds
188,Arucas,ES,28.1198,-15.5233,65.17,76,100,11.86,overcast clouds
189,Alakurtti,RU,66.9672,30.3491,39.38,86,100,6.69,overcast clouds
190,Kandrian,PG,-6.2167,149.55,80.53,81,99,13.8,light rain
191,Sisimiut,GL,66.9395,-53.6735,38.1,83,91,5.06,overcast clouds
192,Cap Malheureux,MU,-19.9842,57.6142,74.46,77,6,5.01,clear sky
193,Arraial Do Cabo,BR,-22.9661,-42.0278,72.68,85,1,7.9,clear sky
194,Bilma,NE,18.6853,12.9164,86.09,7,0,3.33,clear sky
195,Puerto Santander,CO,8.3636,-72.4063,81.36,75,83,2.13,broken clouds
196,Bandarbeyla,SO,9.4942,50.8122,78.98,78,100,17.43,overcast clouds
197,Kpandu,GH,6.9954,0.2931,77.18,89,78,9.46,broken clouds
198,Vagur,FO,61.4732,-6.8119,46.24,83,98,13.91,overcast clouds
199,Te Anau,NZ,-45.4167,167.7167,41.74,92,100,1.86,light rain
200,Karlskrona,SE,56.1616,15.5866,45.05,90,99,4.47,overcast clouds
201,Nola,IT,40.922,14.5329,63.55,79,0,1.23,clear sky
202,Mana,GF,5.6592,-53.7767,75.31,94,100,7.74,light rain
203,Saldanha,ZA,-33.0117,17.9442,57.25,90,71,11.1,broken clouds
204,Mount Isa,AU,-20.7333,139.5,62.37,29,1,10.36,clear sky
205,Sao Manuel,BR,-22.7311,-48.5706,76.19,62,86,3.85,overcast clouds
206,Tucuman,AR,-26.8241,-65.2226,62.6,77,99,3.71,overcast clouds
207,Santa Marta,CO,11.2408,-74.199,86.99,66,100,8.99,overcast clouds
208,Carnarvon,AU,-24.8667,113.6333,66.27,77,90,8.05,overcast clouds
209,Provideniya,RU,64.3833,-173.3,44.71,61,0,11.18,clear sky
210,Shimoda,JP,34.6667,138.95,70.16,76,100,14.92,overcast clouds
211,Matara,LK,5.9485,80.5353,78.85,88,99,15.01,overcast clouds
212,Nioki,CD,-2.7167,17.6833,74.14,60,77,0.54,broken clouds
213,Avarua,CK,-21.2078,-159.775,84.25,79,40,16.11,light rain
